aAcc,mIoU,mAcc,data_time,time,step
59.57,11.56,18.33,0.03056049346923828,1.3516933484510942,400
60.62,14.99,21.57,0.008561511834462484,0.3765332301457723,800
74.32,32.16,38.03,0.008634547392527262,0.370694895585378,1200
76.91,36.51,41.7,0.008559385935465494,0.36470168828964233,1600
70.0,27.4,33.12,0.009036878744761149,0.3678753574689229,2000
80.17,40.06,45.77,0.009249607721964518,0.3746574918429057,2400
75.82,42.32,48.83,0.009887953599294027,0.3741191228230794,2800
